code	main_type	name	tissue
SBLU	Mature B-Cell Neoplasms	Splenic B-Cell Lymphoma/Leukemia, Unclassifiable	Lymphoid
SBMOV	Ovarian Cancer	Serous Borderline Ovarian Tumor, Micropapillary	Ovary/Fallopian Tube
SBOV	Ovarian Cancer	Serous Borderline Ovarian Tumor	Ovary/Fallopian Tube
SBWDNET	Gastrointestinal Neuroendocrine Tumor	Small Bowel Well-Differentiated Neuroendocrine Tumor	Bowel
SCB	Bladder Cancer	Sarcomatoid Carcinoma of the Urinary Bladder	Bladder/Urinary Tract
SCBC	Bladder Cancer	Small Cell Bladder Cancer	Bladder/Urinary Tract
SCCE	Cervical Cancer	Small Cell Carcinoma of the Cervix	Cervix
SCCNOS	Cancer of Unknown Primary	Squamous Cell Carcinoma, NOS	Other
SCCO	Ovarian Cancer	Small Cell Carcinoma of the Ovary	Ovary/Fallopian Tube
SCCRCC	Renal Cell Carcinoma	Renal Clear Cell Carcinoma with Sarcomatoid Features	Kidney
SCEMU	Cervical Cancer	Signet Ring Mucinous Carcinoma	Cervix
SCGBC	Hepatobiliary Cancer	Small Cell Gallbladder Carcinoma	Biliary Tract
SCGBM	Glioma	Small Cell Glioblastoma	CNS/Brain
SCHW	Nerve Sheath Tumor	Schwannoma	Peripheral Nervous System
SCLC	Small Cell Lung Cancer	Small Cell Lung Cancer	Lung
SCOAH	Sellar Tumor	Spindle Cell Oncocytoma of the Adenohypophysis	CNS/Brain
SCOS	Bone Cancer	Small Cell Osteosarcoma	Bone
SCRMS	Soft Tissue Sarcoma	Spindle Cell Rhabdomyosarcoma	Soft Tissue
SCSRMS	Soft Tissue Sarcoma	Spindle Cell/Sclerosing Rhabdomyosarcoma	Soft Tissue
SCST	Sex Cord Stromal Tumor	Sex Cord Stromal Tumor	Ovary/Fallopian Tube
SCT	Sex Cord Stromal Tumor	Steroid Cell Tumor, NOS	Ovary/Fallopian Tube
SCUP	Cancer of Unknown Primary	Small Cell Carcinoma of Unknown Primary	Other
SDCA	Salivary Gland Cancer	Salivary Duct Carcinoma	Head and Neck
SDRPL	Mature B-Cell Neoplasms	Splenic Diffuse Red Pulp Small B-Cell Lymphoma	Lymphoid
SEBA	Skin Cancer, Non-Melanoma	Sebaceous Carcinoma	Skin
SEBVTLC	Mature T and NK Neoplasms	Systemic EBV Positive T-Cell Lymphoma of Childhood	Lymphoid
SECOS	Bone Cancer	Secondary Osteosarcoma	Bone
SEF	Soft Tissue Sarcoma	Sclerosing Epithelioid Fibrosarcoma	Soft Tissue
SELT	Sellar Tumor	Sellar Tumor	CNS/Brain
SEM	Germ Cell Tumor	Seminoma	Testis
SFT	Soft Tissue Sarcoma	Solitary Fibrous Tumor/Hemangiopericytoma	Soft Tissue
SFTCNS	CNS Cancer	Solitary Fibrous Tumor of the Central Nervous System	CNS/Brain
SGAD	Skin Cancer, Non-Melanoma	Sweat Gland Adenocarcinoma	Skin
SGO	Salivary Gland Cancer	Salivary Gland Oncocytoma	Head and Neck
SGTTL	Non-Small Cell Lung Cancer	Salivary Gland-Type Tumor of the Lung	Lung
SIC	Small Bowel Cancer	Small Intestinal Carcinoma	Bowel
SKAC	Skin Cancer, Non-Melanoma	Skin Adnexal Carcinoma	Skin
SKCM	Melanoma	Cutaneous Melanoma	Skin
SKCN	Melanoma	Congenital Nevus	Skin
SKIN	Skin Cancer, NOS	Skin	Skin
SKLMM	Melanoma	Lentigo Maligna Melanoma	Skin
SLCT	Sex Cord Stromal Tumor	Sertoli-Leydig Cell Tumor	Ovary/Fallopian Tube
SM	Mastocytosis	Systemic Mastocytosis	Myeloid
SMAHN	Mastocytosis	Systemic Mastocytosis with an Associated Hematological Neoplasm	Myeloid
SMMCL	Mastocytosis	Mast Cell Leukemia	Myeloid
SMN	Esophagogastric Cancer	Smooth Muscle Neoplasm, NOS	Esophagus/Stomach
SMZL	Mature B-Cell Neoplasms	Splenic Marginal Zone Lymphoma	Lymphoid
SNA	Head and Neck Cancer	Sinonasal Adenocarcinoma	Head and Neck
SNSC	Head and Neck Cancer	Sinonasal Squamous Cell Carcinoma	Head and Neck
SNUC	Head and Neck Cancer	Sinonasal Undifferentiated Carcinoma	Head and Neck
SOC	Ovarian Cancer	Serous Ovarian Cancer	Ovary/Fallopian Tube
SOFT_TISSUE	Soft Tissue Cancer, NOS	Soft Tissue	Soft Tissue
SPB	Mature B-Cell Neoplasms	Solitary Plasmacytoma of Bone	Lymphoid
SPC	Breast Cancer	Solid Papillary Carcinoma of the Breast	Breast
SPCC	Non-Small Cell Lung Cancer	Spindle Cell Carcinoma of the Lung	Lung
SPDAC	Esophagogastric Cancer	Poorly Differentiated Carcinoma of the Stomach	Esophagus/Stomach
SPIR	Skin Cancer, Non-Melanoma	Spiroma/Spiradenoma	Skin
SPN	Pancreatic Cancer	Solid Pseudopapillary Neoplasm of the Pancreas	Pancreas
SPTCL	Mature T and NK Neoplasms	Subcutaneous Panniculitis-Like T-Cell Lymphoma	Lymphoid
SPZM	Melanoma	Spitzoid Melanoma	Skin
SRAP	Appendiceal Cancer	Signet Ring Cell Type of the Appendix	Bowel
SRCBC	Bladder Cancer	Plasmacytoid/Signet Ring Cell Bladder Carcinoma	Bladder/Urinary Tract
SRCC	Renal Cell Carcinoma	Sarcomatoid Renal Cell Carcinoma	Kidney
SRCCR	Colorectal Cancer	Signet Ring Cell Adenocarcinoma of the Colon and Rectum	Bowel
SS	Mature T and NK Neoplasms	Sezary Syndrome	Lymphoid
SSM	Mastocytosis	Smoldering Systemic Mastocytosis	Myeloid
SSRCC	Esophagogastric Cancer	Signet Ring Cell Carcinoma of the Stomach	Esophagus/Stomach
STAD	Esophagogastric Cancer	Stomach Adenocarcinoma	Esophagus/Stomach
STAS	Esophagogastric Cancer	Adenosquamous Carcinoma of the Stomach	Esophagus/Stomach
STMYEC	Soft Tissue Sarcoma	Soft Tissue Myoepithelial Carcinoma	Soft Tissue
STOMACH	Esophageal/Stomach Cancer, NOS	Esophagus/Stomach	Esophagus/Stomach
STSC	Esophagogastric Cancer	Small Cell Carcinoma of the Stomach	Esophagus/Stomach
SUBE	CNS Cancer	Subependymoma	CNS/Brain
SWDNET	Gastrointestinal Neuroendocrine Tumor	Well-Differentiated Neuroendocrine Tumors of the Stomach	Bowel
SYNS	Soft Tissue Sarcoma	Synovial Sarcoma	Soft Tissue
TAC	Tubular Adenoma of the Colon	Tubular Adenoma of the Colon	Bowel
TAM	Leukemia	Transient Abnormal Myelopoiesis	Myeloid
TAML	Leukemia	Therapy-Related Acute Myeloid Leukemia	Myeloid
TCCA	Germ Cell Tumor	Choriocarcinoma	Testis
TEOS	Bone Cancer	Telangiectatic Osteosarcoma	Bone
TESTIS	Testicular Cancer, NOS	Testis	Testis
TET	Thymic Tumor	Thymic Epithelial Tumor	Thymus
TGCT	Soft Tissue Sarcoma	Tenosynovial Giant Cell Tumor Diffuse Type	Soft Tissue
THAP	Thyroid Cancer	Anaplastic Thyroid Cancer	Thyroid
THFO	Thyroid Cancer	Follicular Thyroid Cancer	Thyroid
THHC	Thyroid Cancer	Hurthle Cell Thyroid Cancer	Thyroid
THME	Thyroid Cancer	Medullary Thyroid Cancer	Thyroid
THPA	Thyroid Cancer	Papillary Thyroid Cancer	Thyroid
THPD	Thyroid Cancer	Poorly Differentiated Thyroid Cancer	Thyroid
THRLBCL	Mature B-Cell Neoplasms	T-Cell/Histiocyte-Rich Large B-Cell Lymphoma	Lymphoid
THYC	Thymic Tumor	Thymic Carcinoma	Thymus
THYM	Thymic Tumor	Thymoma	Thymus
THYMUS	Thymic Cancer, NOS	Thymus	Thymus
THYROID	Thyroid Cancer, NOS	Thyroid	Thyroid
TISSUE		Tissue	
TLGL	Mature T and NK Neoplasms	T-Cell Large Granular Lymphocytic Leukemia	Lymphoid
TLL	T-Lymphoblastic Leukemia/Lymphoma	T-Lymphoblastic Leukemia/Lymphoma	Lymphoid
TLYM	Non-Hodgkin Lymphoma	Testicular Lymphoma	Testis
TMDS	Leukemia	Therapy-Related Myelodysplastic Syndrome	Myeloid
TMESO	Mesothelioma	Testicular Mesothelioma	Testis
TMN	Leukemia	Therapy-Related Myeloid Neoplasms	Myeloid
TMT	Germ Cell Tumor	Teratoma with Malignant Transformation	Testis
TNET	Thymic Tumor	Thymic Neuroendocrine Tumor	Thymus
TPLL	Mature T and NK Neoplasms	T-Cell Prolymphocytic Leukemia	Lymphoid
TRCC	Renal Cell Carcinoma	Translocation-Associated Renal Cell Carcinoma	Kidney
TSCST	Sex Cord Stromal Tumor	Sex Cord Stromal Tumor	Testis
TSTAD	Esophagogastric Cancer	Tubular Stomach Adenocarcinoma	Esophagus/Stomach
TT	Germ Cell Tumor	Teratoma	Testis
TYST	Germ Cell Tumor	Yolk Sac Tumor	Testis
UA	Bladder Cancer	Urachal Adenocarcinoma	Bladder/Urinary Tract
UAD	Bladder Cancer	Urethral Adenocarcinoma	Bladder/Urinary Tract
UAS	Uterine Sarcoma	Uterine Adenosarcoma	Uterus
UASC	Endometrial Cancer	Uterine Adenosquamous Carcinoma	Uterus
UCA	Bladder Cancer	Urethral Cancer	Bladder/Urinary Tract
UCCA	Gestational Trophoblastic Disease	Choriocarcinoma	Uterus
UCCC	Endometrial Cancer	Uterine Clear Cell Carcinoma	Uterus
UCEC	Endometrial Cancer	Endometrial Carcinoma	Uterus
UCP	Pancreatic Cancer	Undifferentiated Carcinoma of the Pancreas	Pancreas
UCS	Endometrial Cancer	Uterine Carcinosarcoma/Uterine Malignant Mixed Mullerian Tumor	Uterus
UCU	Bladder Cancer	Urethral Urothelial Carcinoma	Bladder/Urinary Tract
UDDC	Endometrial Cancer	Uterine Dedifferentiated Carcinoma	Uterus
UDMN	Cancer of Unknown Primary	Undifferentiated Malignant Neoplasm	Other
UEC	Endometrial Cancer	Uterine Endometrioid Carcinoma	Uterus
UELMS	Uterine Sarcoma	Uterine Epithelioid Leiomyosarcoma	Uterus
ULM	Uterine Sarcoma	Uterine Leiomyoma	Uterus
ULMS	Uterine Sarcoma	Uterine Leiomyosarcoma	Uterus
UM	Melanoma	Uveal Melanoma	Eye
UMC	Endometrial Cancer	Uterine Mucinous Carcinoma	Uterus
UMEC	Endometrial Cancer	Uterine Mixed Endometrial Carcinoma	Uterus
UMLMS	Uterine Sarcoma	Uterine Myxoid Leiomyosarcoma	Uterus
UMNC	Endometrial Cancer	Uterine Mesonephric Carcinoma	Uterus
UNEC	Endometrial Cancer	Uterine Neuroendocrine Carcinoma	Uterus
UPA	Bladder Cancer	Urothelial Papilloma	Bladder/Urinary Tract
UPDC	Endometrial Cancer	Poorly Differentiated Carcinoma of the Uterus	Uterus
UPECOMA	Uterine Sarcoma	Uterine Perivascular Epithelioid Cell Tumor	Uterus
URCA	Bladder Cancer	Urachal Carcinoma	Bladder/Urinary Tract
URCC	Renal Cell Carcinoma	Unclassified Renal Cell Carcinoma	Kidney
URMM	Melanoma	Mucosal Melanoma of the Urethra	Bladder/Urinary Tract
USARC	Uterine Sarcoma	Uterine Sarcoma/Mesenchymal	Uterus
USC	Endometrial Cancer	Uterine Serous Carcinoma/Uterine Papillary Serous Carcinoma	Uterus
USCC	Bladder Cancer	Urethral Squamous Cell Carcinoma	Bladder/Urinary Tract
USMT	Uterine Sarcoma	Uterine Smooth Muscle Tumor	Uterus
USTAD	Esophagogastric Cancer	Undifferentiated Stomach Adenocarcinoma	Esophagus/Stomach
USTUMP	Uterine Sarcoma	Uterine Smooth Muscle Tumor of Uncertain Malignant Potential	Uterus
UTERUS	Uterine Cancer, NOS	Uterus	Uterus
UTUC	Bladder Cancer	Upper Tract Urothelial Carcinoma	Bladder/Urinary Tract
UUC	Endometrial Cancer	Uterine Undifferentiated Carcinoma	Uterus
UUS	Uterine Sarcoma	Undifferentiated Uterine Sarcoma	Uterus
VA	Vaginal Cancer	Vaginal Adenocarcinoma	Vulva/Vagina
VDYS	Germ Cell Tumor	Dysgerminoma	Vulva/Vagina
VGCE	Cervical Cancer	Villoglandular Adenocarcinoma of the Cervix	Cervix
VGCT	Germ Cell Tumor	Germ Cell Tumor of the Vulva	Vulva/Vagina
VIMT	Germ Cell Tumor	Immature Teratoma	Vulva/Vagina
VMA	Vulvar Carcinoma	Mucinous Adenocarcinoma of the Vulva/Vagina	Vulva/Vagina
VMGCT	Germ Cell Tumor	Mixed Germ Cell Tumor	Vulva/Vagina
VMM	Melanoma	Mucosal Melanoma of the Vulva/Vagina	Vulva/Vagina
VMT	Germ Cell Tumor	Mature Teratoma	Vulva/Vagina
VOEC	Germ Cell Tumor	Embryonal Carcinoma	Vulva/Vagina
VPDC	Vaginal Cancer	Poorly Differentiated Vaginal Carcinoma	Vulva/Vagina
VPE	Germ Cell Tumor	Polyembryoma	Vulva/Vagina
VPSCC	Penile Cancer	Verrucous Penile Squamous Cell Carcinoma	Penis
VSC	Vaginal Cancer	Squamous Cell Carcinoma of the Vulva/Vagina	Vulva/Vagina
VULVA	Vulvar/Vaginal Cancer, NOS	Vulva/Vagina	Vulva/Vagina
VYST	Germ Cell Tumor	Yolk Sac Tumor	Vulva/Vagina
WDLS	Soft Tissue Sarcoma	Well-Differentiated Liposarcoma	Soft Tissue
WDTC	Thyroid Cancer	Well-Differentiated Thyroid Cancer	Thyroid
WM	Mature B-Cell Neoplasms	Waldenstrom Macroglobulinemia	Lymphoid
WPSCC	Penile Cancer	Warty Penile Squamous Cell Carcinoma	Penis
WT	Wilms Tumor	Wilms' Tumor	Kidney
aCML	Myelodysplastic/Myeloproliferative Neoplasms	Atypical Chronic Myeloid Leukemia, BCR-ABL1-	Myeloid
